Layer,MAE,MSE,CosineSim,Min,Max,StdOriginal,StdOther,KLD
layer_24_o_proj,0.0500643216073513,0.004862857051193714,-0.013255439698696136,-0.2842472493648529,2.098048448562622,0.043090835213661194,0.05425889790058136,5.637436389923096
layer_24_qkv_proj,0.15741242468357086,0.21917958557605743,0.8353584408760071,-2.4646077156066895,4.705137729644775,0.2891608774662018,0.6819173097610474,2.969363212585449
layer_25_down_proj,0.04012339562177658,0.0026072298642247915,-0.00017817621119320393,-0.4273848533630371,0.26340705156326294,0.035837188363075256,0.036360543221235275,0.9860481023788452
layer_25_gateup_proj,0.11374502629041672,0.024264337494969368,0.04024394974112511,-1.7581185102462769,1.5187461376190186,0.12706194818019867,0.09287480264902115,0.315407395362854
layer_25_o_proj,0.06598439812660217,0.00824522040784359,-0.011487860232591629,-0.3803044557571411,2.553162097930908,0.05701012536883354,0.07001474499702454,4.553858280181885
layer_25_qkv_proj,0.17259030044078827,0.25069233775138855,0.8640903234481812,-3.3193697929382324,3.92720890045166,0.32124531269073486,0.7514578700065613,2.315333127975464
layer_26_down_proj,0.02968023158609867,0.0014313962310552597,-0.01767386868596077,-0.2814432382583618,0.16304327547550201,0.0261240154504776,0.026907077059149742,0.8819411396980286
layer_26_gateup_proj,0.1210489496588707,0.028369443491101265,0.06689858436584473,-1.813726782798767,1.6871154308319092,0.13820971548557281,0.10133614391088486,3.740485429763794
layer_26_o_proj,0.056620705872774124,0.005285786464810371,0.017004745081067085,-0.2980666160583496,1.1229053735733032,0.04194723442196846,0.06010765954852104,2.911888837814331
layer_26_qkv_proj,0.19510911405086517,0.26759400963783264,0.8996118307113647,-4.860985279083252,4.8936614990234375,0.37587326765060425,0.8287214636802673,3.6656696796417236
layer_27_down_proj,0.06605932116508484,0.007205490954220295,0.012147704139351845,-0.6934049725532532,0.43496474623680115,0.05998244881629944,0.06079002097249031,0.9538272619247437
layer_27_gateup_proj,0.12564632296562195,0.03374676778912544,0.07000858336687088,-2.277627944946289,2.249046564102173,0.15103662014007568,0.10969318449497223,8.868038177490234
layer_27_o_proj,0.08362742513418198,0.01458769105374813,-0.022029172629117966,-0.5051582455635071,4.037425994873047,0.07942447811365128,0.08926249295473099,6.131895542144775
layer_27_qkv_proj,0.18039488792419434,0.22982914745807648,0.9020559787750244,-4.727895736694336,3.446849822998047,0.33930522203445435,0.7625665664672852,3.9066226482391357
layer_28_down_proj,0.050420280545949936,0.0041497694328427315,0.0008983062580227852,-0.5304533243179321,0.2943262457847595,0.04594358801841736,0.04519832134246826,1.1148220300674438
layer_28_gateup_proj,0.1299642026424408,0.03954492136836052,0.08855408430099487,-3.1049466133117676,2.835178852081299,0.16819998621940613,0.1149134710431099,11.715452194213867
layer_28_o_proj,0.11270312964916229,0.02452021650969982,0.01123938150703907,-0.5213907957077026,5.055643558502197,0.10358042269945145,0.11861401796340942,5.280106544494629
layer_28_qkv_proj,0.20417053997516632,0.2761191129684448,0.9259981513023376,-4.793938636779785,3.9508166313171387,0.39721259474754333,0.8714584112167358,3.018871784210205
layer_29_down_proj,0.2661728858947754,0.12341255694627762,-0.023634187877178192,-6.530843734741211,3.835822820663452,0.24360741674900055,0.24746322631835938,1.8824752569198608
layer_29_gateup_proj,0.13620801270008087,0.04997531324625015,0.061982735991477966,-5.717201232910156,4.551814079284668,0.18898709118366241,0.12544505298137665,12.86568832397461
layer_29_o_proj,0.08590834587812424,0.014855393208563328,-0.024074869230389595,-0.36895743012428284,3.8989779949188232,0.07971494644880295,0.09031254053115845,14.485795974731445
layer_29_qkv_proj,0.19433660805225372,0.22960565984249115,0.921453595161438,-3.952165126800537,4.417825698852539,0.35875821113586426,0.7890508770942688,1.7630480527877808
layer_30_down_proj,9.532456398010254,262.072998046875,-0.021304216235876083,-641.6568603515625,389.96844482421875,11.763757705688477,10.876455307006836,3.597794771194458
layer_30_gateup_proj,0.17415769398212433,0.1567048877477646,0.02372521348297596,-5.859854698181152,16.105104446411133,0.3393431007862091,0.2094465047121048,8.975637435913086
layer_30_o_proj,0.138279989361763,0.038978997617959976,0.002527006436139345,-1.5808985233306885,6.606808662414551,0.1345110386610031,0.14487306773662567,4.045154094696045
layer_30_qkv_proj,0.244113489985466,0.33689916133880615,0.9513692855834961,-4.238401889801025,4.624539375305176,0.4394227862358093,0.9824924468994141,2.4796741008758545
layer_31_down_proj,1.7254891395568848,5.915266990661621,0.011499118059873581,-24.708566665649414,26.617721557617188,2.390136957168579,0.4793422818183899,0.9084205627441406
layer_31_gateup_proj,0.6283750534057617,0.8748465180397034,0.01404789462685585,-13.188371658325195,7.878884315490723,0.870064914226532,0.329609215259552,2.370410919189453
layer_31_o_proj,3.837143659591675,36.93111801147461,-0.019315024837851524,-236.65036010742188,126.71185302734375,4.2363080978393555,4.276971340179443,3.691788911819458
layer_31_qkv_proj,0.2973168194293976,0.4002542495727539,0.7848793268203735,-6.144751071929932,5.95652961730957,0.560998260974884,0.9689351916313171,1.5892295837402344
